fold,train_cases,test_cases,train_regular,train_deviant,test_regular,test_deviant,threshold,threshold_method,accuracy,precision,recall,f1,mcc,auc_roc,auc_pr
1,111,28,58,53,14,14,0.4162,anomaly_score_score_distribution_otsu,0.39285714285714285,0.0,0.0,0.0,-0.34641016151377546,0.0,0.3285838341798094
2,111,28,58,53,14,14,0.3408,anomaly_score_score_distribution_otsu,0.42857142857142855,0.25,0.07142857142857142,0.1111111111111111,-0.20412414523193148,0.10204081632653061,0.35403414473881567
3,111,28,57,54,15,13,0.402,anomaly_score_score_distribution_otsu,0.5714285714285714,0.6666666666666666,0.15384615384615385,0.25,0.1405726992011029,0.14871794871794874,0.4161131329895632
4,111,28,57,54,15,13,0.399,anomaly_score_score_distribution_otsu,0.39285714285714285,0.0,0.0,0.0,-0.38005847503304596,0.0,0.2973745626107213
5,112,27,58,54,14,13,0.3376,anomaly_score_score_distribution_otsu,0.5185185185185185,0.5,0.07692307692307693,0.13333333333333333,0.010482848367219183,0.07692307692307693,0.39577666091240754
