fold,train_cases,test_cases,train_regular,train_deviant,test_regular,test_deviant,stable_baseline_cases,threshold,threshold_method,accuracy,precision,recall,f1,mcc,auc_roc,auc_pr
1,33,17,20,13,10,7,26,0.479,anomaly_score_iterative_baseline_p95,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,33,17,20,13,10,7,26,0.4406,anomaly_score_iterative_baseline_p95,0.9411764705882353,0.875,1.0,0.9333333333333333,0.8874119674649423,0.9857142857142858,0.982142857142857
3,34,16,20,14,10,6,27,0.4268,anomaly_score_iterative_baseline_p95,0.9375,1.0,0.8333333333333334,0.9090909090909091,0.8703882797784892,0.9833333333333334,0.9761904761904762
