fold,train_cases,test_cases,train_regular,train_deviant,test_regular,test_deviant,stable_baseline_cases,threshold,threshold_method,accuracy,precision,recall,f1,mcc,auc_roc,auc_pr,lstm_accuracy,lstm_precision,lstm_recall,lstm_f1,lstm_mcc,lstm_auc_roc,lstm_auc_pr,transformer_accuracy,transformer_precision,transformer_recall,transformer_f1,transformer_mcc,transformer_auc_roc,transformer_auc_pr
1,92,47,48,44,24,23,73,0.5755,anomaly_score_iterative_baseline_p95,0.9787234042553191,0.9583333333333334,1.0,0.9787234042553191,0.9583333333333334,1.0,1.0,0.425531914893617,0.16666666666666666,0.043478260869565216,0.06896551724137931,-0.24694731008896287,0.1431159420289855,0.34245738078562366,0.9574468085106383,0.92,1.0,0.9583333333333334,0.9183318209303941,1.0,1.0
2,93,46,48,45,24,22,74,0.5795,anomaly_score_iterative_baseline_p95,0.9347826086956522,0.9130434782608695,0.9545454545454546,0.9333333333333333,0.8703882797784891,0.9526515151515151,0.9742184692777578,0.45652173913043476,0.2857142857142857,0.09090909090909091,0.13793103448275862,-0.16330271482059527,0.24242424242424243,0.36450540626510164,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,93,46,48,45,24,22,74,0.5679,anomaly_score_iterative_baseline_p95,0.9782608695652174,0.9565217391304348,1.0,0.9777777777777777,0.957427107756338,1.0,0.9999999999999998,0.41304347826086957,0.0,0.0,0.0,-0.33434804902403553,0.12121212121212122,0.3203064088404465,1.0,1.0,1.0,1.0,1.0,1.0,1.0
