fold,train_cases,test_cases,train_regular,train_deviant,test_regular,test_deviant,stable_baseline_cases,threshold,threshold_method,accuracy,precision,recall,f1,mcc,auc_roc,auc_pr
1,103692,25923,56482,47210,14120,11803,82953,0.6037,anomaly_score_pr_max_f1,0.9253558615900938,0.8775057383320581,0.9717021096331441,0.9222048003859606,0.8549114584285494,0.9336253668882856,0.9241812899392858
2,103692,25923,56482,47210,14120,11803,82953,0.6116,anomaly_score_pr_max_f1,0.9253172858079698,0.8787134413141936,0.9698381767347285,0.9220298026580749,0.8545172428053096,0.9323556076034829,0.9241374136442898
3,103692,25923,56482,47210,14120,11803,82953,0.6262,anomaly_score_pr_max_f1,0.9279018632102766,0.883374498301945,0.969668728289418,0.9245122985581001,0.8592047659227241,0.9339433047343079,0.9280246965288304
4,103692,25923,56481,47211,14121,11802,82953,0.6234,anomaly_score_pr_max_f1,0.9254715889364656,0.8796737959686105,0.9688188442636841,0.9220967741935484,0.8546249460608717,0.9335089303272905,0.9281085160258083
5,103692,25923,56481,47211,14121,11802,82953,0.6198,anomaly_score_pr_max_f1,0.9218454654168113,0.8715415019762845,0.9715302491103203,0.9188236236877955,0.848530526558418,0.931959058526063,0.9242178425026302
