fold,train_cases,test_cases,train_regular,train_deviant,test_regular,test_deviant,threshold,threshold_method,accuracy,precision,recall,f1,mcc,auc_roc,auc_pr
1,111,28,58,53,14,14,0.2348,anomaly_score_roc_youden_j,0.8214285714285714,0.7368421052631579,1.0,0.8484848484848485,0.6882472016116853,0.6836734693877551,0.6038530290658773
2,111,28,58,53,14,14,0.228,anomaly_score_roc_youden_j,0.9285714285714286,0.875,1.0,0.9333333333333333,0.8660254037844387,0.8571428571428571,0.7321093588950731
3,111,28,57,54,15,13,0.3846,anomaly_score_roc_youden_j,0.9642857142857143,0.9285714285714286,1.0,0.9629629629629629,0.9309493362512627,0.9333333333333333,0.8278712740251202
4,111,28,57,54,15,13,0.1623,anomaly_score_roc_youden_j,0.8928571428571429,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.7877263614433762,0.8717948717948718,0.7381545804622729
5,112,27,58,54,14,13,0.2363,anomaly_score_roc_youden_j,0.9629629629629629,0.9285714285714286,1.0,0.9629629629629629,0.9285714285714286,0.9285714285714285,0.830740626894473
